Avg_value,TP9,AF7,AF8,TP10
-40.70477690596177,-30.894605927721223,-97.52773125523862,-7.276799536705743,-27.11997090418152
-96.78101621890792,-31.49657942642817,-167.26834988384115,-161.33465587113577,-27.024479694226564
-69.97572283107975,-34.765380724005354,-88.62334072687021,-125.41410515826345,-31.100064715179986
-85.64107376688484,-44.4511850565893,-159.16421192871013,-98.07182042065912,-40.877077661580834
-103.77027630473606,-39.656787687803934,-221.6877610306772,-117.19732482248128,-36.5392316779818
-99.28300681904477,-39.17780987882639,-240.7937844979714,-79.5443624210352,-37.61607047834613
11.151896999528757,-32.93465902621142,3.28734746257038,107.64777034156035,-33.39287077980428
-532.9501780763146,-83.20534073226364,-983.0873686446995,-980.670682849005,-84.83732007929046
-94.65767167494599,-35.91822085309758,-10.548112956474178,-293.0845476582101,-39.07980523200206
33.46930726118004,-33.1705110980518,153.782030887619,49.33788004199418,-36.07217078684122
-0.9445533080487536,-37.016650101967485,4.195376268186774,60.949107699529904,-31.90604709794421
-40.8688377286559,-35.28949902546162,-88.79500657305776,-5.585101336745153,-33.80574397935905
12.657686267553633,-28.59985405819804,54.328393326894926,53.87373031872044,-28.97152451720279
-20.782037438792614,-31.811837508029182,-37.19116906581817,13.95521817571186,-28.080361357034967
-55.28402230828205,-26.810770308289197,-118.49209529873617,-50.07233139372988,-25.76089223237293
-44.42015836044614,-27.695039382061534,-86.91204240923702,-36.09651897391786,-26.977032676568157
-81.26682064985822,-34.28329421594466,-176.51079282167004,-81.21499703913572,-33.05819852268248
-95.57802160125568,-34.315083230214384,-205.54214333898764,-108.83748541357772,-33.61737442224304
-68.80503638902164,-34.9377550026591,-132.0317203633508,-75.81850961369375,-32.43216057638294
-69.28287309882856,-33.20408117438331,-137.0483002417585,-78.68680074294033,-28.192310236232093
-77.94651313021296,-28.847215690206795,-161.9329020235599,-95.54948224163003,-25.456452565455145
-60.867062762452946,-35.11090902934913,-109.06640361650102,-69.90538223974995,-29.385556164211664
-78.94964033443215,-30.6124689366642,-164.05800750103617,-89.70033482962646,-31.427750070401746
-77.43764485111517,-31.464053331986083,-150.15973961740232,-97.23996024404359,-30.88682621102866
-63.89275098824719,-32.18627845495773,-120.63363618872239,-74.07653394880909,-28.67455536049954
-70.70845432502693,-33.4770962236657,-138.96457230364874,-77.26676556369108,-33.1253832091022
-95.29667754311325,-43.60215353465626,-189.1667659211531,-106.58430282433432,-41.83348789230931
-59.80767287962171,-27.491823223292695,-108.1508038709611,-81.3496827525291,-22.23838167170397
-79.6048272401217,-21.344869211837146,-171.3318357483484,-108.45697092947167,-17.285633070829615
-86.47031677668154,-30.200595114924713,-182.85587311443393,-107.1468575955309,-25.677941281836624
-71.22128443911325,-17.349755839526246,-129.85938079600217,-122.62477217735501,-15.051228943569592
199.03448013860367,83.3314914223153,456.08288186141635,182.3798355265035,74.34371174417963
-463.0513874256087,-76.97431543037439,-931.071376198599,-772.6886630945446,-71.47119497891688
-99.23461305715001,-47.66938899567245,-116.81235211215959,-189.29649677000893,-43.16021435075909
-59.26956294695401,-45.572348063555665,-81.34942862837589,-67.17513729761846,-42.98133779826604
-68.06544885127701,-40.452094170381805,-125.49879682894714,-70.22204370033779,-36.088860705441334
-62.603119141342646,-35.76034564108171,-105.55831835817143,-73.31551831872778,-35.77829424738964
-60.39807909657058,-37.851443170193484,-88.44400005643587,-81.39414992577422,-33.90272323387873
-76.47569112994978,-31.00519120743583,-154.04855216604048,-91.84318363013419,-29.0058375161886
-59.23914980020875,-20.416154385096544,-127.0623583265074,-70.059585172934,-19.41850131629708
-66.66665058980935,-33.20319245943421,-127.15645857397853,-75.55290733925705,-30.754043986567606
-85.04029571858027,-34.42688387692671,-167.99601604575213,-105.28286290152722,-32.455420050115045
-73.77215462573253,-35.14473530723888,-146.22776112524616,-81.3238079889585,-32.3923140814866
-72.37402902004852,-29.91944538749906,-151.60785212332104,-78.32167699763728,-29.647141571736732
-78.61613704281247,-29.580718610603412,-160.74868196198452,-94.4497668152978,-29.685380783364135
-65.66137975693736,-31.96051342846868,-135.2607620294565,-67.61307039816208,-27.811173171662187
-63.134398221459556,-35.43464363465764,-111.4826466642678,-75.04484215711298,-30.575460429799797
-85.54342566394078,0.030779687756583365,-191.53251066562274,-154.34182248273356,3.669850804836591
