timestamps,TP9,AF7,AF8,TP10,Right AUX
1678793440.785,-1.953,-10.742,68.848,26.855,-31.738
1678793440.789,18.555,-7.812,67.871,105.469,40.039
1678793440.793,20.020,0.977,63.965,27.832,83.496
1678793440.797,7.812,21.484,74.219,-88.867,74.219
1678793440.801,-19.531,27.832,83.984,-94.238,45.898
1678793440.805,-20.020,13.184,81.055,23.926,61.523
1678793440.809,0.488,1.953,78.613,116.699,20.508
1678793440.813,15.137,0.488,74.707,56.152,12.695
1678793440.816,3.906,13.184,87.891,-60.059,24.414
1678793440.820,-7.812,18.555,106.934,-75.684,6.348
1678793440.824,-20.020,19.043,95.703,12.207,7.812
1678793440.828,-30.273,9.277,72.266,86.426,59.570
1678793440.832,22.461,12.695,86.914,73.730,47.363
1678793440.836,24.414,18.555,98.633,-33.691,15.137
1678793440.840,-19.043,6.348,93.262,-101.074,77.637
1678793440.844,-16.113,8.789,95.703,-4.883,31.738
1678793440.848,0.977,16.113,83.984,104.492,-10.742
1678793440.852,30.273,22.461,82.520,83.496,15.625
1678793440.855,32.227,27.832,98.145,-27.832,-1.953
1678793440.859,3.906,32.227,104.980,-90.820,20.996
1678793440.863,-17.578,43.457,99.121,-6.836,37.598
1678793440.867,-7.324,51.758,90.820,114.746,39.062
1678793440.871,4.395,57.129,77.148,84.961,50.293
1678793440.875,20.020,81.055,89.355,-24.414,-17.578
1678793440.879,14.648,107.422,112.305,-78.613,-24.414
1678793440.883,-26.367,107.910,94.238,-42.969,49.805
1678793440.887,-14.160,96.680,78.613,78.613,64.941
1678793440.891,25.391,94.238,83.496,103.516,20.508
1678793440.894,23.438,105.957,92.285,-1.465,8.789
1678793440.898,-1.465,118.164,101.074,-78.613,36.133
1678793440.902,-7.324,122.070,101.074,-35.156,24.902
1678793440.906,8.301,108.398,93.262,77.637,42.969
1678793440.910,13.184,100.586,85.449,103.027,20.996
1678793440.914,22.461,104.980,87.402,2.930,20.508
1678793440.918,14.160,107.910,94.238,-104.492,52.246
1678793440.922,-14.648,118.164,103.516,-77.148,22.461
1678793440.926,-35.645,108.398,88.867,37.598,9.277
1678793440.930,-28.320,99.609,69.336,74.219,31.250
1678793440.934,-14.648,113.281,79.590,1.465,52.246
1678793440.937,-22.949,128.418,95.215,-94.727,83.008
1678793440.941,-29.785,135.254,101.074,-93.262,68.848
1678793440.945,-28.320,130.371,90.820,33.691,0.000
1678793440.949,-5.371,115.723,81.543,106.934,4.395
1678793440.953,16.602,101.074,82.520,42.480,53.223
1678793440.957,6.348,107.422,88.867,-56.152,24.902
1678793440.961,-6.836,122.559,98.145,-60.547,13.672
1678793440.965,-4.395,124.512,92.285,39.062,43.945
1678793440.969,30.762,122.559,87.891,119.141,5.859
1678793440.973,26.367,117.676,77.148,54.688,-12.207
1678793440.976,-13.184,117.188,73.242,-78.613,53.711
1678793440.980,-14.648,127.930,96.191,-89.844,56.152
1678793440.984,-17.090,122.070,95.703,4.395,8.301
1678793440.988,-6.348,111.816,79.102,109.375,7.812
1678793440.992,24.414,120.605,82.031,97.168,39.551
1678793440.996,29.297,122.559,95.215,-29.297,45.410
1678793441.000,10.742,109.863,107.422,-81.055,40.039
1678793441.004,12.695,99.609,105.469,3.418,-9.766
1678793441.008,30.762,92.285,94.238,111.328,-69.824
1678793441.012,60.059,83.008,92.285,119.141,-9.766
1678793441.015,51.758,83.496,93.750,-1.953,47.852
1678793441.019,4.883,88.867,94.238,-74.707,22.461
1678793441.023,-12.695,81.543,93.262,10.254,17.090
1678793441.027,-6.836,63.477,75.684,105.469,34.180
1678793441.031,28.809,60.059,72.754,114.258,15.625
1678793441.035,43.457,66.406,84.473,8.789,42.480
1678793441.039,39.062,71.289,98.145,-75.195,74.219
1678793441.043,18.066,67.383,97.168,-25.879,53.711
1678793441.047,11.719,48.828,78.613,82.520,35.156
1678793441.051,34.180,38.574,71.289,110.352,22.949
